task,repo,n,npass,p,v,keep,gt_class,gt_rank
aiohttp:91751450c87e73d26d1464c6a61133e298b26ae2,aiohttp,16,14,0.8750,0.6564,1,learnable,1618
aiohttp:aa2d9ddd875c54863dfa6620ac75dd9e1ed4ed3a,aiohttp,16,14,0.8750,0.6564,1,learnable,1619
aiohttp:92cd425bca4c0bbd9be84def71951234159ca44f,aiohttp,24,21,0.8750,0.6564,1,learnable,1620
aiohttp:bff76313298d8b2c7539f9dc496801ee86ab7097,aiohttp,16,14,0.8750,0.6564,1,learnable,1621
aiohttp:1f3a6be48a99767560ccf3f9e923a9a3a6fc1352,aiohttp,24,21,0.8750,0.6564,1,learnable,1622
aiohttp:087aecba1dc979b2aa0c2652475feaed7d96a71d,aiohttp,24,21,0.8750,0.6564,1,learnable,1623
aiohttp:b2e1294f700eae58a87085b6342d7eb5ed105700,aiohttp,24,21,0.8750,0.6564,1,learnable,1624
aiohttp:04de888534815c80abf5025fb66c03c07cb1bb32,aiohttp,16,14,0.8750,0.6564,1,learnable,1625
aiohttp:b97d9a97b239e33bc3f8df321defa853864a639e,aiohttp,24,21,0.8750,0.6564,1,learnable,1626
aiohttp:28cb7d707e90fe1d8a1f7dcbf853acc831a6423c,aiohttp,24,21,0.8750,0.6564,1,learnable,1627
aiohttp:c3789965cdf023d5069d1f04e853a3c6f7a7ab3d,aiohttp,24,21,0.8750,0.6564,1,learnable,1628
aiohttp:dd3fabd091bf40137ff87a66b226b47f172a0298,aiohttp,8,7,0.8750,0.6564,1,learnable,1629
aiohttp:2c7f760e00dd695854322f86cd5f1c2b1289c983,aiohttp,16,14,0.8750,0.6564,1,learnable,1630
aiohttp:3d41df0e8f0473c8e553f2f0446c7a35646320ea,aiohttp,24,3,0.1250,0.6564,1,learnable,1631
aiohttp:c2d9c1904a5bf43aced8d5a5dc579ee80d2573b1,aiohttp,24,3,0.1250,0.6564,1,learnable,1632
aiohttp:fa628a2170cc03b82f32ea4e3812f41d015125e3,aiohttp,8,1,0.1250,0.6564,1,learnable,1633
aiohttp:aa2308fb632bce8eb056d66f7cdb51a469f2572e,aiohttp,8,1,0.1250,0.6564,1,learnable,1634
aiohttp:06b23989d9a80da93eddf285960e00a01b078151,aiohttp,24,3,0.1250,0.6564,1,learnable,1635
aiohttp:f0caa654b2db87d65159951094b3c7fc5d396caf,aiohttp,16,2,0.1250,0.6564,1,learnable,1636
aiohttp:e40283338eab5b501e8e91e5b24c2c38cb1a0c71,aiohttp,24,3,0.1250,0.6564,1,learnable,1637
aiohttp:898aa280f20c740ae7e3c020546d5be925bb6ddc,aiohttp,24,3,0.1250,0.6564,1,learnable,1638
aiohttp:f21c6f2ca512a026ce7f0f6c6311f62d6a638866,aiohttp,24,3,0.1250,0.6564,1,learnable,1639
aiohttp:20d5f6e5421b1794b1d8370ab80b9deddf24f6da,aiohttp,16,2,0.1250,0.6564,1,learnable,1640
aiohttp:45147c4e18d20ee7a4007fb3ee399487e319d9ad,aiohttp,8,1,0.1250,0.6564,1,learnable,1641
aiohttp:cdb5129afc79bb9e073ed6ad2fcb352efa2962c2,aiohttp,16,2,0.1250,0.6564,1,learnable,1642
aiohttp:e74a4a02893c2b0a90ddcd8935ac9cdb946f2f1c,aiohttp,16,2,0.1250,0.6564,1,learnable,1643
aiohttp:1770460c4bcc172cf6e4dd2ff074361afd3bbaf4,aiohttp,24,2,0.0833,0.5015,1,learnable,1920
aiohttp:dde1446cb9fb6835570795eebe58bf435a6a0006,aiohttp,24,2,0.0833,0.5015,1,learnable,1921
aiohttp:5fa260aaa35d81dcbbeb15ee3891337870f77c99,aiohttp,24,2,0.0833,0.5015,1,learnable,1922
aiohttp:ec714c820fd12aebe8d5d8594cd50345164d6bb0,aiohttp,24,2,0.0833,0.5015,1,learnable,1923
aiohttp:306e42d8de2a9f4c2a911eab5fce6da36f949f11,aiohttp,24,2,0.0833,0.5015,1,learnable,1924
aiohttp:f19d920658b6d6800d28c2dc0b99423da3c3750a,aiohttp,24,2,0.0833,0.5015,1,learnable,1925
aiohttp:6e9ecc78e23cfbf592339243acc28e8e1d3c8fcc,aiohttp,24,2,0.0833,0.5015,1,learnable,1926
aiohttp:d2b52d7c32a744379438c466e68ad2cb471deeba,aiohttp,24,2,0.0833,0.5015,1,learnable,1927
aiohttp:731ba4dd399c26fd470dde5ea50e011e058b798a,aiohttp,24,2,0.0833,0.5015,1,learnable,1928
aiohttp:7e16dd198ea5042bd127a0d0417c40348ac1d158,aiohttp,24,2,0.0833,0.5015,1,learnable,1929
aiohttp:63813fe5f6d115c98beb180ddefb8cdc1b201b74,aiohttp,24,2,0.0833,0.5015,1,learnable,1930
aiohttp:2f7c45ebc0e2adee709815fc26264c7940b732fd,aiohttp,24,2,0.0833,0.5015,1,learnable,1931
aiohttp:922541b8f49e894bd2d52e0ae7d5b6daf3efa073,aiohttp,24,2,0.0833,0.5015,1,learnable,1932
aiohttp:5f699bbbf98d3700921ec9a7d646d5f21e82e8c1,aiohttp,24,2,0.0833,0.5015,1,learnable,1933
aiohttp:fecb85a9291d4cae6c06999c388421cde02c9860,aiohttp,24,2,0.0833,0.5015,1,learnable,1934
aiohttp:210bcbb8ee0c3ce34664836403a07a0b97123696,aiohttp,24,2,0.0833,0.5015,1,learnable,1935
aiohttp:695b0dc4bada1aca19a1bb99ea52176409658951,aiohttp,24,2,0.0833,0.5015,1,learnable,1936
aiohttp:8a7c2a5b5c9329b1c96f55801e5afed6d381afbd,aiohttp,24,22,0.9167,0.5015,1,learnable,2056
aiohttp:65fd80bc5783b724e96bb54e55b6f0ddb2d660f9,aiohttp,24,22,0.9167,0.5015,1,learnable,2057
aiohttp:537413a7fc05ddfb1f89ad434c03bf2e2bf58e8b,aiohttp,16,15,0.9375,0.4033,1,learnable,2126
aiohttp:8bd42e742acc825e8b2f170c04216da3c767f56e,aiohttp,16,15,0.9375,0.4033,1,learnable,2127
aiohttp:2b85ad73f587ce43ea9285a6922b614d96e72f80,aiohttp,16,15,0.9375,0.4033,1,learnable,2128
aiohttp:b78cef374c1e0bcce62faef144b9f5067c3bf53e,aiohttp,16,15,0.9375,0.4033,1,learnable,2129
aiohttp:c054f579dd04bfa5d3f0ee78d4cca4107f96d4c4,aiohttp,16,15,0.9375,0.4033,1,learnable,2130
aiohttp:dccf97578e6a8e094dac0c0a4ac46a59eb3ac2b1,aiohttp,16,15,0.9375,0.4033,1,learnable,2131
aiohttp:768123537ec988ea629a829623e8d72e7aec1c41,aiohttp,16,1,0.0625,0.4033,1,learnable,2132
aiohttp:18a281eff089456797a6c783bec93cb93fbb0995,aiohttp,16,1,0.0625,0.4033,1,learnable,2133
aiohttp:f3a1afc51665d9d2180606f250f492a61623ac6b,aiohttp,16,1,0.0625,0.4033,1,learnable,2134
aiohttp:6d3d1fcf2583eb7b8330b194c00356ce169b2ebd,aiohttp,16,1,0.0625,0.4033,1,learnable,2135
aiohttp:51ea69d4c863b9a184293371b24e8d3e6651eb25,aiohttp,16,1,0.0625,0.4033,1,learnable,2136
aiohttp:bf33810d11bbedbe8a01cde53ae89fcc2b6b04fd,aiohttp,24,23,0.9583,0.2886,1,learnable,2257
aiohttp:ea47a46f5f9008a1ab44279c41debe609d568282,aiohttp,24,23,0.9583,0.2886,1,learnable,2258
aiohttp:4284bed28ae27d5d2bf51cabf2bd3dd2e78a5ea4,aiohttp,24,23,0.9583,0.2886,1,learnable,2259
aiohttp:b40265eeafbe10d28146e476fe33cbb29539eb12,aiohttp,24,23,0.9583,0.2886,1,learnable,2260
aiohttp:60313571defa8d66e3a6d4bc0be1fa78b475652f,aiohttp,24,23,0.9583,0.2886,1,learnable,2261
aiohttp:37b2604d10e78b96b1fed51bab7f22221c868fc9,aiohttp,24,23,0.9583,0.2886,1,learnable,2262
aiohttp:a4e94ffc341d884ed0345d634b56984e1c460274,aiohttp,24,23,0.9583,0.2886,1,learnable,2263
aiohttp:5b5bbd688c630f7200b9385ee3798f03ba5f279c,aiohttp,24,23,0.9583,0.2886,1,learnable,2264
aiohttp:fb0d3db26c6a21d2a9c1b96b7545e108114fb99b,aiohttp,24,1,0.0417,0.2886,1,learnable,2350
aiohttp:c6c36a664750d1f61e159dcc1a8d73ae2998854b,aiohttp,24,1,0.0417,0.2886,1,learnable,2351
aiohttp:e36c5f0ffeeea0076736c5756d63f5933c91eb8d,aiohttp,24,1,0.0417,0.2886,1,learnable,2352
aiohttp:1c1c0ea353041c8814a6131c3a92978dc2373e52,aiohttp,24,1,0.0417,0.2886,1,learnable,2353
aiohttp:147aa3deb9359d770f14f647d0f1faee0b88e4d3,aiohttp,24,1,0.0417,0.2886,1,learnable,2354
aiohttp:d7802fe2e48bd7b1f70c8d66786ad125305eaa24,aiohttp,24,1,0.0417,0.2886,1,learnable,2355
aiohttp:d8c040e72adfcb9e37c154f59e77ff485e75eee0,aiohttp,24,1,0.0417,0.2886,1,learnable,2356
aiohttp:5a8d95b6bafe5aaae92b644a6561b71ddfee8cd4,aiohttp,16,16,1.0000,0.0000,0,trivial,2508
aiohttp:4c57a9c2bc05b7d45934f12902eec81ef8eb1a5c,aiohttp,8,8,1.0000,0.0000,0,trivial,2509
aiohttp:fe6325e7bc23037967f23e5e814783a17e263ffc,aiohttp,24,24,1.0000,0.0000,0,trivial,2510
aiohttp:d5bbb80195513268c604a908c31870db6b49310c,aiohttp,24,24,1.0000,0.0000,0,trivial,2511
aiohttp:74a2002b638ebd7718ce42609206a00e676a4dbc,aiohttp,24,24,1.0000,0.0000,0,trivial,2512
aiohttp:c776b5a2522fb8c411295b56816d064bfc8389c9,aiohttp,24,24,1.0000,0.0000,0,trivial,2513
aiohttp:56445fc9c043aa46fe9fd0a3dcf6da113c9b20ce,aiohttp,24,24,1.0000,0.0000,0,trivial,2514
aiohttp:c544f56ceb9bd3e49dd1de3b4b05fc4fb3222598,aiohttp,24,24,1.0000,0.0000,0,trivial,2515
aiohttp:6c6d45b7ca392f0d2b5d9baba7f37002cfeaf1e0,aiohttp,24,24,1.0000,0.0000,0,trivial,2516
aiohttp:af2bb1e7ad2e07948b02af0a2db55d5f8555ef6b,aiohttp,24,24,1.0000,0.0000,0,trivial,2517
aiohttp:466f1ebbac1bd4047d0eeaed582ac12834bad305,aiohttp,24,24,1.0000,0.0000,0,trivial,2518
aiohttp:598334fa512560da1378e79363e76129804d02d1,aiohttp,24,24,1.0000,0.0000,0,trivial,2519
aiohttp:4094cb81db93c17ee702eeaa38676a0d3ea9ca59,aiohttp,24,24,1.0000,0.0000,0,trivial,2520
aiohttp:e5106ef238ae8e14921c99ffc6b53969d7917d6d,aiohttp,24,24,1.0000,0.0000,0,trivial,2521
aiohttp:c0c3376e6699d0741424c43ac1b25beea366b1fd,aiohttp,24,24,1.0000,0.0000,0,trivial,2522
